,RMSE,MAE,MAPE_%,DirAcc_%,Train_s
RNN,3.404545545578003,2.4754159450531006,1.8061269521713257,48.14,0.76
LSTM,3.6480870246887207,2.6577837467193604,1.980126976966858,49.17,2.97
GRU,3.3941898345947266,2.4599640369415283,1.7939906120300293,48.97,2.33
NAIVE,3.3611233234405518,2.436774730682373,1.7734243869781494,,0.0
